"id","review","review_rating"
24,"I tried a few different seats and nothing fit my oval shaped Toto seats well.The adjusters in this allow it to fit the seat perfectly. It's sturdy, and easy to clean.  Hangs perfectly with the potty hook.Great product!",5
25,"It does the job.  She was potty trained within a month I think due to being able to leave this in the livingroom so she could always see it.",5
26,"This is a great training potty for toddlers. It's easy to clean and I like the light color. Very happy!",5
27,"Easy to clean.The &#34;lip&#34; at the front pretty much prevents boys from making a huge mess while on the potty, but there are not any rough edges to catch skin.Easy to take the &#34;bowl&#34; off to pour the contents in the toilet.  Even my 2 (almost 3) year old can easily pour in toilet without too many spills.I like the back and the arm rests on the sides. Makes it comfortable for the child, especially when we initially began using the potty.",5
28,"very nice product",5
29,"The good:It lasted about 6 months and never leakedIt really did fit my tub well and helped the transistion from sink to tub for bathing.The bad:Once it goes.....it goes.  It developed a slow leak on day and went into the trash.  Felt wasteful, after that we decided to bathe our daughter in a rubbermaid bin instead.  So far so good.",3
30,"I didn't want bottles with a ton of moving parts that needed to be washed carefully. Using these allows at least part of the bottle to be clean every time, so you only have to worry about cleaning the nipple (and the bottle base, but that doesn't usually get very dirty at all).",5
31,"I am a big proponent of the Playtex Bottle Liner Drop-ins.  Cleaning bottles becomes limited to cleaning nipples -- a far less difficult task.  They're easy and effective.",5
32,"I like have this organizer, but on our changer (attached to the crib style) it sits just a little loose.",4
33,"This fits perfectly over the side of our Babyletto crib and saves a lot of space. There's more than enough room for disposable diapers and they are very easy to take out and refill.",5
34,"Used it for 1st time today. My 5 month old seem comfortable in it. We just graduated from that 1st year tub (with sling) since he look too big for the other tub.1 less star for the scratches and dirt on the tub when it arrived. But it's good after washing. Well it's a molded plastic. Nothing fancy. Very well shaped though!",4
35,"I wanted something comfortable, safe, and high quality for our 4 month old.  This is a great tub for her getting ready to sit up on her own.  It is big, and takes up almost the whole bathtub, but it beats the others since it creates her own bathtub.  There is plenty of space for her to kick and play. It drains easily and easy to clean.  For the price you will get your deal, especially the end result is a happy baby :)",5
36,"This does not stay on a brick fireplace.  I constantly have to be sticking them back on.  But it's better than nothing.  The corners stick well though.",3
37,"I purchased these bottles for our new baby. I like how durable and easy to sterilize they are also replacement nipples are very affordable also. I like the idea that because the bottles are glass we will be able to use them for future children with the minimal cost of nipple replacement. I am happy with how sturdy they are and have no fear of breaking the glass at all.",5
38,"Used it for more than 4 months and still as good as new. The quality is really good.Got it together with thishttp://www.amazon.com/gp/product/B00433OQO6/ref=as_li_tl?ie=UTF8&camp;=1789&creative;=390957&creativeASIN;=B00433OQO6&linkCode;=as2&tag;=travguid0ca-20",4
39,"New parent here. These do not work with our Avent bottles. Who knew there were slightly different sized nipples. Annoying. Have to return and replace.",1
40,"We had a bookshelf in our daughters room that we didn't want her pulling over, and these worked great. Perfect solution, no issues installing.",5
41,"I love how easy this gate is when walking through with my arms full of sleeping baby! It takes a heavy step to open but it's truly baby Proof!",5
42,"I use it as a stool and it's nice. won't slip on any surface. But I guess it will be hard to clean the top.",5
43,"My 2.25 year old daughter loves standing on this in the bathroom and it seems very sturdy and safe.  I wish it was a tad taller or had a step because she still can't quite reach the sink.",4
44,"I ordered this stool for my son. He isn't officially potty training yet, he's still more of a recreational toilet user. So he needed a stool more for hand-washing at the sink and less for climbing onto the toilet. A neighbor recommended this stool to me, saying it wouldn't slide along the floor. Unfortunately, this has not been the case for us.This stool moves easily along the tiles as my son climbs on and off.Also, it is too short for use as a sink stool. He still can't reach the water or the faucet, which frustrates him immensely. I'm sure that next year we will get a lot of use out of this stool, when my son is bigger and is using the toilet in earnest. In the mean time, we will continue to be a bit frustrated.I do appreciate the wide color varieties for this stool. The turquoise color is really nice.",3
45,"works great with my pump n style and allows me to pump on the go when necessary.  Be sure to check the voltage on our your pump before purchasing, some are 9-volt, not 12-volt.",5
46,"My nips were sooo sore and cracked the first weeks after having my baby. These shields saved my life because I was able to put them on and walk around the house without rubbing against my clothes. You can't go outside in public with these, they poke out too much. But they are a good alternative to walking around topless. It's also great that they catch the milk. I was able to freeze and store a lot of the milk that collected in one side while nursing on the other.",5
47,"These are the only bottles my son will use and of course this design is discontinued. I took away a star because I got a pack with 3 pink bottles. Figures. FYI - the Dr. Brown's nipples fit these bottles exactly the same as the Playtex and you can still get those in the store. Way cheaper than trying to find the Playtex ones.",4
48,"Title says it all! I've tried a lot of the other baby bottles: Dr. Brown, Nuk, Tommee Tippee, Born Free, & Avent.These Playtex VentAire are by far my favorite!",5
49,"These are wonderful baby spoons. Just the right size for littlest mouths. I wash them in the dishwasher without issues.  We keep them for a year or longer.",5
50,"You can't beat the price.  I purchased these to take with me on day/ weekend trips.  They were cheap enough so that I wouldn't be upset if I ever lost one.They are much sturdier than I expected for something considered &#34;toss-able.&#34;  I have washed these in my dishwasher twice already and they are holding up great.  There are no unsightly scratches or discoloring.My pack arrived with blue, green, purple, yellow, orange and PINK spoons.  I have a daughter, so, it was a pleasant surprise.The size is perfect for my 9 month old daughter's little mouth.  I have a 3 year old and although it is on the small size for him, it is still large enough for him to get enough food on the spoon and into his mouth.  I would not recommend these spoons for children over the age of 2.The product arrived at my door in 5 days.",5
51,"These worked with the Medela Breast Pump. Two different sizes comes in the box. One size did work with the Natural Flow bottles.",5
52,"I didn't plan on having to pump breast milk, my daughter was of course going to latch with no problems (oh how we plan). So when I got this gift at my baby shower I just smiled and packed it away until she needed to eat solid food.I've been using bottles since she was five days old and this has been a life saver. The vial of water requires some trial and error to make sure the bottle isn't too warm or too cold but other than that no issues.I haven't had as much luck with using it to heat up solid food. It always seems to be a little cool, no matter how much water I put in the vial.",4
53,"I'm not familar with other brands but this works well enough for me. I use filtered water since it will gunk up quickly inside using tap water. I also have to keep a close eye on the bottle because it will go from slightly warm to hot very quickly.",5
54,"This is an pretty good bottle warmer. However, it has a timer and auto-shuts, but there is no alarm to tell you that the milk is ready so it's very easy to burn bottle. I used this with many different types of bottles (e.g., Advent, Playtex, Dr. Brown. etc..) and it works for all of them.I would prefer the Dr Brown warmer below which has certainly more featureshttp://www.amazon.com/gp/product/B0035LLG2W/ref=as_li_tl?ie=UTF8&camp;=1789&creative;=390957&creativeASIN;=B0035LLG2W&linkCode;=as2&tag;=justckem-20",4
55,"We used this everyday, multiple times a day, for over a year and had no problems at all.  It took a little bit to figure out how much water to use with which bottle, but once we got that down it was simple to put the water in, push the button and a few min. later have a warm bottle for our daughter.  We have used hot tap water to try and warm a bottle and it just takes too long for formula out of the refrigerator.  We never tried heating up food so I can't comment on that part of the warmer.",4
56,"Cute cups for the kids to play with.  Make great bath toys.  Colors are nice.  I would buy as a gift in future",5
57,"These cups are a favorite in my house. dishwasher safe and colorful- so we always have a couple on hand to keep my son occupied, even during mealtime since they can be cleaned easily",5
58,"Baby loves to nest and stack and throw these cups.  He likes to put other toys in them and dump them out.  These are a dry toy for us, but note that the bottoms all have little cutouts to drain and won't hold water very well for tubby play.  I have a set for the diaper bag, and can pull them out for play or to hold dry snacks.  Great value.  Only downside is there is no strap to keep them all together in a bag or toy box, so i use a fat rubber band.  Hold up fine in the dishwasher.",5
59,"Just be warned...these cups have holes in the bottom. I bought them thinking the largest could double as a bathing cup...but they all have holes. That said, the baby likes them and they're fine for the price.",3
60,"Classic toy that my daughter plays with all the time.  When she was younger she loved to knock down the stacks of cups we would build for her.  Now that she is older (15 months) she loves to nest the cups inside one another.  They are great in her water table as well and I'm sure will be just as fun in sand.  The 2 smallest cups are pretty small and will most likely get lost under furniture, but such is life with a toddler.",5
61,"This is a great toybox. However, 3 pieces came damaged. replacement of the pieces was easy - you order it online. The pieces came damaged because not enough protective packaging was used. Nonetheless, once all the replacement pieces arrived, it was easy to assemble.",5
62,"This is a great tub when they grow out of the infant tub but can't quite sit well enough for the large tub reliably. I am about to retire it because he wants to be in the large tub now but it served it's purpose well and was worth the price. He loves playing with it to hear the bean bag sounds and loves that Leachco tag on the side.We hung it to dry in the shower nightly and never noticed any mildew/mold and it dried quickly. The only downside of this vs an inflatable is that when he pooped in the tub once it was difficult to clean out. That was the only time I wasn't happy.",5
63,"The tub I purchased was a complete waste of money. This was a lifesaver for when my boy couldn't sit up safely on his own. It just needs to be rinsed out well and hung to dry in a well ventilated area to avoid it getting moldy.",4
64,"This is very thin. I wanted something that I could  bathe my new baby on next to my three-year-old in the tub. I wouldn't have been able to use more than 2 inches of water with this. Not for us...",3
65,"I like this infant bath pad because it holds my son well, has ample cushion, is soft, and easy to use.  I highly recommend it.",5
66,"This was just the special and helpful gift I was looking for. I bought it for a baby shower so I don't know yet how the mother and baby likes it, but I think they will. Very soft with a convenient hang-up hook so it can dry. Seems to be made well. I wish I had something like this when my son was a baby!",5
67,"My LO loves to eat with these spoons! and believe I've tried with others and he doesn't like it. Is true they are a little big bigger but if my LO loves them I love them!",5
68,"This was an amazing find for my granddaughter! She truly loves bright colors and I am so excited that it worked so well! Low spillage",5
69,"it is such a beautiful and stylish frame. I expected smaller size and was gladly surprised that it is a medium size. Looks great in a baby room.",5
70,"I was happy to find a diaper disposal system that worked well with cloth diapers.  It usually fills up just as I am ready to do diaper laundry, so it has a great capacity.  We used the disposable liners that came with it until I ran out, and then used the re-usable cloth liners that I purchased separately.  Both were very easy to use, and helped to keep our nursery stink-free.  If you go back and forth with cloth and disposable, or plan to do one and then the other, this is a great option, as you can use it easily for both options, as opposed to the Munchkin or Diaper Genie, which are much harder to use with cloth.",5
71,"We purchased this when for our nursery. Honestly, I originally wanted this one because it looked nicer than the other pails, and the white and grey went with our nursery. However, now that we've been using it for 6 months, I really love how function it is.Pros:-No smell. I empty this thing maybe once a week (sometimes longer if I'm lazy) and I never smell the dirty diapers. We are into eating solids now, too ... and if you have a baby you know what I'm talking about.-Easy to empty. I love that I can just open the bottom, pull the bag out, cut it off, and the new bag is already loaded and waiting. The bags also hold a lot of diapers. I haven't counted, so I can't tell you exactly how many, but like I mentioned above, I only empty it once a week.-Locking lid. There's a lock on the lid to prevent little hands from getting into the trash. Our baby is only 6 months so I haven't had to worry about this yet, but she's crawling and into everything, so I'm sure it's not far off.-Looks nice. It really does look like a nice diaper pail. Also, the narrow width makes it perfect to fit between our dresser/changing table and the wall.-Refills last forever. The refills are pricier than some others, I'm sure, but they last forever. I've only replaced the bag once and that was around 3-4 months.Cons:-No indicator of when the bag refill is close to the end of the roll. This is really my only complaint. I think I read a review somewhere that suggested putting a pink line or some marker on the refill bags so you know when it's almost out. It hasn't caused me any problems yet, but it would be helpful to know when I'm almost out of bag.-The lid sticks up sometimes, and doesn't close all the way. I'm not sure if this is because it's sitting on plush carpet and not on a hard surface or what, but the lid doesn't always fully shut. Not a big deal because there's a second lid underneath that covers the diapers, but it's an annoyance. I realize I'm being picky here, but I needed at least two cons, right?Overall, this is a really great diaper pail. I've recommended it to all my pregnant friends.",5
72,"Like many other reviewers, I am a huge fan of traditional Playtex sippy cups. They truly are the gold standard. They last forever, don't leak, and are cute as well. This new line that they came out with is just terrible. After 2 washings they leak all over the place. I don't know whether it's the new valves or the cup lids themselves, but they are completely useless. I'm stalking other sites to find the originals so I can stock up because these new ones are a disaster.",1
73,"Bought this in my third trimester, if you turn a lot during in your sleep, this is not a pillow for you. Because every time you change the position, you have to move the pillow the other way, oh my specially when you are already barely moving yourself, pillow is more like being hassle than making you comfortable.",1
74,"If you're pregnant, buy this pillow right this second. I couldn't have gotten through my pregnancy without it. So comfy and helps me sleep so good!!",5
75,"Pros: felt soo much better sleeping with this than just stacks of random pillows.Cons:1) we had a full/queen bed and between myself and this pillow my poor husband had virtually no space. he was a trooper though and never complained!2) By the end of my pregnancy I felt that I had flattened the head portion to the point it wasn't helping very much. For this it gets 4 stars. It is promoted to be more firm of a pillow than the Boppy or other competing brands. It started out that way for sure but I smothered it to death, and now it is limp. For a lot of people they may not feel this way or be as picky as me but I LOVE extra firm pillows. So if you are like me you may keep this in mind.3) Removing the case and washing it is a giant pain in the behind. That was a battle I was determined to win because clean linens are my happy place.All in all, it was still worth the purchase and gave me MANY good nights sleep. Just be aware, it may not last to your firm standards or leave space for your partner in the bed. I would buy it again, and just might have to with another pregnancy to keep the firmness I prefer.",4
76,"I had a love-hate relationship with this pillow throughout my pregnancy.  I hated sleeping on my side, and I unfairly blamed a lot of it on the pillow, but the pillow wasn't to blame.  It is large and took up most of our queen size bed, but really came in handy, especially toward the end of my pregnancy.  Also, the cover is zippered and washable, but a pain to take off and put back on.",4
77,"i cannot sleep with out this pillow!so comfortable!!!one &#34;eh&#34; quality is i was mine a lot and ita a pain in the neck to take the pillow case on and off.",5
78,"saving assistance, as they should not buy these again, I never noticed anything in the bra, or in the clothes",5
79,"Soft and the right size.  I do wish they would stop making nursing pads round and make them a little more breast shaped so you cant see them thru a shirt but so far every ones are still round.  They aren't too think but you can see them thru a thin shirt.",4
80,"This is the most boring thing one can have in the nursery! Waiting for it to fall and break and buy a different one.Although looks arent of concern then its a good buy!",2
81,"it moves around a lot.but it does what it's supposed to.having a wipes case on top weighs it down a bit, which is good.all in all, not a great idea to have all this stuff on the counter where the baby loves to reach for it and play.",4
82,"I really love this item, but I got parts of it broken. this why I am giving it a 2 star. I would have return it but in the long run it will cost me to much time and money.",2
83,"I love every aspect about this tub!",5
84,"He's not too big, so this one is just perfect for him. guess I'll need a bigger one after 6 months or so.",5
85,"I love this tub! It really does fit baby from newborn on up.  I have an exceptionally large boy (we just grow 'em tall in my family!), so I don't think he'll fit in it as long as most kids, but for newborns through 9mo it should work great.  He is 4 months now, and about the size of an average 7-8 month old, and he is using the &#34;toddler&#34; side sitting up (he already can sit up on his own for the most part).  He won't fit in it for way longer, but since he's sitting so well that's fine.This is very well constructed, and the bump in the middle really helps keep him from sliding around like I've had trouble with in some tubs.I would definitely suggest this to all new parents!",5
86,"I bought this for my daughter's new baby. She reports back to me that she likes it  and their baby loves his baths in it now that he is 5 months old.",4
87,"Love the concept of the sling. Also love that it has a spout - it makes it very easy to use.I did not realize that this would sit easily over the sink. Makes life really easy. Highly recommended product.",5
88,"It has been a couple of months that I have used the tub. I used the sling for a day or two, it was not very comfortable using the sling. Baby ended up slouching on the sling and hard to move around.  Without the sling, bath time was a two man's job since one person had to support the baby's body and head while the other person bathed the baby. Now that the baby is older and is able to control her head, it has been a lot more easier using the tub.",4
89,"I had a blue one of these for my first few kids years ago. Just bought this one to replace it for my daughter who will be born soon. It's the same one...different color. I didn't care to try the pricey ones with all kinds of features. This one worked just fine and I was happy with it. I'm sure I will be again. One side is perfect for babies, the other for toddlers. Easy to keep clean. Cheap and works great. Couldn't ask for more from a baby tub.",5
90,"THIS IS A GREAT PRORUCT. It seemed a little long but helped my daughter get used to silicone bottle nipple before I went back to work.",4
91,"I know you can't expect much from these products but this was horrible. I followed the directions, washed it with soap and let it soak for 20 minutes before using it. After the first use it became flimsy and sticky and wouldn't stick to my nipple as I expected it to. Went in the trash right away. Was",1
92,"I love this whole Avent system of being able to do everything in one bottle without transferring my pumped milk. These work well on the Avent natural bottles they seal so well I can even freeze the milk in the bottle I haven't had any issue with leaking of any kind they work very well",5
93,"Don't really need them. The nipples don't leak during travel, so I never used these. One of those new mom things you buy and then later are like that was silly.",3
94,"I got this when my daughter was 2 months old, one of the seams wasn't done right so the stuffy was able to escape, fixed that and it worked fine, she was a fan of it for a while, and still will randomly go to it (mostly to play with the Velcro strap though",3
95,"This pillow is a comfy place for the baby to sit while also being a comfortable nursing pillow. I actually didn't use it very long for a nursing pillow because we had some latch issues that required unique positioning but the time that I did use it for that was great. My favorite part is the strap that hold the baby. This is a feature you won't on other nursing pillows. I've used two others and this is my favorite. And you can't beat the price!",5
96,"I use it more for baby to lay on, she loves it - I'm so happy I got this and use it constantly . I'm bottle feeding so I'm not sure how good it is for nursing, but it's great for baby to lay on and look around, she does tummy time on ot too, and the seatbelt strap is great, keeps her from slipping - she's a squirm worm and only 6 weeks. She's laying on it right now as I type! :)",5
97,"Great delivery time! I choose this pillow over boppy every time because of the straps it has for baby to be secure, it's multifunctional.",5
98,"I wished I had one of these when I had my son 2 years ago from all the backaches from not sitting up straight while breastfeeding. I cam across this and decided to buy for my newborn baby and I loved it. I used it nursing and also to put her in to keep her head up",5
99,"When it arrived I know I am satisfied with this pillow. It soft & thick. I like the purpose of the belt too. It is added for baby's support & safety. Unfortunately, there is no cover sheet available. Just wipe it with wet cloth & you will be fine.",5
100,"These are no where near the same quality as the Playtex VentAire Wide Bottle. I thought they were at least in the same family but I was completely wrong. The universal nipples that Playtex makes for all their bottles do not fit on these bottles. Also there are no meterings on the side so there's no way to know how much milk is in the bottle. These were so far from what we wanted we didn't even use them and ended up donating them to charity.However, you don't have to look too far to find the perfect bottle and they are somewhat related. The Playtex BPA Free VentAire Wide Bottle Newborn Starter Set is exactly what you want. They are so good in fact we went back and bought another set.ALSO BUYER BEWARE EVEN THOUGH WE NEVER USED THESE BOTTLES AMAZON WOULD NOT ALLOW US TO RETURN THEM!",1
101,"We love these sleep sacks. Out little one is now old enough to have a blanket but he moves around so much in his sleep it doesn't stay on, these are perfect especially for the colder months",5
102,"We liked this sleep sac very much. We bought it a second time once our daughter grew out of the large.",5
103,"Let me start by saying that I don't leak a ton and I got a free box of these. That being said, even for free I don't want to use these. They sound (yes sound) horrible as they're crinkly. If I leaked more I'd be really concerned because I just don't see how these would hold up. When I push them aside to nurse they ball up and I can't really reuse them. I like the avent so much better (softer, not crinkly, absorbent and actually hold up). I wouldn't spend the $ on these ever even if they were the only option.",1
104,"Works well ... just like it should.  Easy to snap in and out of.  We have two extra bases because it's sooo much easier to have one in every car than to change them out all the time.",5
105,"I have purchased this for our new car and while it definitely protects the seats and works well, the bottom part is too big and the passenger next to it can't actually easily buckle. It is probably better for a family car, type SUV. We have an economy size BMW so maybe this is the problem.",4
106,"A must have for my daughter after we broke her of a swaddle.  Gives me peace of mind that she is warm.",5
107,"I don't know how people get their one year olds to use blankets, so I'm keeping mine in sleep sacks since he regularly does 180s in his crib. This is a nice, light weight. The zipper can be a bit of a pain - I wish it was better quality - but aside from that, these are good. We have two.",4
108,"My 10 months old baby has now been using this one every night for the past 2 months, and probably still will for a while :)Very practical, it still allows her to roll over and sit easily in her crib. We live in Florida so even though we have the A/C we just needed a light blanket and we loved the HALO swaddle bags but needed something bigger.We bought a cute one at IKEA that did not last long (the zipper broke), very disappointing, so got back with HALO. Do not regret it at all. Cotton is very soft of great quality even after weekly wash/dry. Zipper is still fully functioning. Like new after 2+ months!",5
109,"Love the halo sleep sacks. This fits my almost 6 monther. I like the cotton ones because my apt is always warm",5
110,"My son is 4-months old and the sleepsacks I had were all way too thick and warm for the summer. This cotton sleepsack is think, breathable and soft for him to wear in the summer to bed and for naps.",5
111,"Because it's cotton, material breathes better than the fleece counterpart. We bought this for our infant to wear in the winter since we keep our house very warm. And our lil one is one sweaty baby. One star deducted since after washing and drying, the zipper wrinkles up and does not lay flat.",4
112,"I purchased this because my little guy was breaking out of the swaddle and I didn't feel comfortable with him and a free blanket in the crib. The sleep sack keeps him warm, and he sleeps well. We don't use it in the summer because he sleeps fine in just pjs. I will use it again this winter. My little guy was using this at 4 months.",5
113,"Got first unit as a hand me down from friend. It died after 1 year of use&#8230;..  I liked it a lot so I got an identical for the replacement.I like that light is not bright ( bought another unit but the light was attracting my son&#8217;s attention and he was constantly trying to reach it).",5
114,"I had this for less than a month before it broke. It's really easy to use and they did the job, but it broke so quick and I have no idea why. I would recommend buying a product with more quality than this, it's worth it. Thank God that it's the summer time now, so my son doesn't really need warm wipes for now.",2
115,"There is a sponge at the bottom of the warmer that you have to take out every now and then and rinse.  Unless you put that on your calendar you tend to forget, and after a while the sponge turns yellow and looks really gross.Besides that the warmer is great and does everything we expect it to do.",4
116,"Everyone said that a diaper warmer was not a nessesity. I say WRONG!!! My child did not like the cold wipes so my mom bought me this. I thought she was crazy and it was a waste of money but I was wrong. It's great to get a warm wipe out everytime. My child no longer cries when I wipe her. It's a great product.",5
117,"perfect size and color. keeps my baby wipes warm, so no more late nights changing diapers with cold wipes. Now my son have soft, moist and warm wipes.",5
118,"I used this when my son was just born but it made the wipes too moist.  I'd have to dry him off before I put a diaper on or it would cause diaper rash.  I ended up switching to just a regular wipe holder and it's much better.",2
119,"I bought this to use with cloth wipes and I couldn't be more satisfied.  I just soak my wipes in warm water with a tablespoon of coconut oil and two drops of tea tree oil, then I roll them up and pack them in.  Holds enough for two days.",5
120,"I use this everyday since I got them (even bought a second set so I could have more)  we have 3-4 bowls a day so with 2 packs i can set up cereal for 3-4 days depending on everything.  they have enough room that i can mix the water and or fruit/veggies/meats in them.",5
121,"I know these are designed to be disposable but we reuse these all the time.  the lid is not the most secure lid in the world so curious minds may be able to get it off but for the price I love them.",5
122,"My 5-month old is teething and really loves this toy. He can very easily hold it, can chew on any part of it and each part has different textures. Besides Sophie the giraffe, this is his new favorite toy!",5
123,"Easy to grab, twist and shake. My seven-month-old boy loves it more as days go by because he discoveres new features every time. Also, the price os great.",5
124,"This is my daughter's favorite chew toy. It's great because it has many textures and colors and it moves really well. It keeps her entertained and therefore me a happy mama.",5
125,"I was a bit sceptical about buying this at first because I didn't think it was that safe but I'm going on vacation with LO soon and I needed something and this got good reviewsa so I tried it. Its fantastic! She loves being right at the table with us and it is VERY sturdy! Can't say enough good things about it",5
126,"Easy installation, fit perfectly on a bar top style section of seating in the kitchen. My only complaint is that at my son's age/height, the bar in the back of the frame is right across the back of his head, so to be comfortable he has to lean his head forward. It just looks uncomfortable. The back is not firm or solid, so that also adds to the problem. Perhaps if the back was firm and at the same depth as the bar there wouldn't be an issue. It wipes clean and is easy to install /uninstall and I feel its safe. My son just doesn't eat well in it and I believe it's because he's uncomfy.",3
